O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,SUDHARSANAM. S,Dravida Munnetra Kazhagam,150654,831,151485,50.04
2,DEEPAK. S,Bahujan Samaj Party,1390,3,1393,0.46
3,Moorthy. V,All India Anna Dravida Munnetra Kazhagam,94206,208,94414,31.19
4,ARAVIND KUMAR. P,Desiya Makkal Sakthi Katchi,465,0,465,0.15
5,ELUMALAI. R,Naam Tamilar Katchi,27411,42,27453,9.07
6,SAMBATH. E,Shiv Sena,175,0,175,0.06
7,DHAKSHNAMOORTHY. D,Amma Makkal Munnettra Kazagam,7088,16,7104,2.35
8,YUVARAJ. M,Anna MGR Dravida Makkal Kalgam,81,0,81,0.03
9,VINOTH KUMAR. M,Naadaalum Makkal Katchi,113,1,114,0.04
10,RAMESH,Makkal Needhi Maiam,15838,39,15877,5.25
11,ARIVUNITHI. S,Independent,108,0,108,0.04
12,SAKTHIVEL. A,Independent,83,2,85,0.03
13,SATHISH KUMAR. S,Independent,62,0,62,0.02
14,SUDHARSANAN. D,Independent,169,1,170,0.06
15,NIRMAL KUMAR. M,Independent,101,0,101,0.03
16,BABU. M.G,Independent,411,2,413,0.14
17,MOORTHY. S,Independent,437,0,437,0.14
18,RAMESH. G,Independent,47,0,47,0.02
19,RAMU. S,Independent,431,0,431,0.14
20,JAYASEELAN. S,Independent,119,0,119,0.04
21,NOTA,None of the Above,2161,5,2166,0.72
