O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,KOTHANDAPANI,Bahujan Samaj Party,460,6,466,0.22
2,S THANIGAIVEL,Bharatiya Janata Party,42836,367,43203,20.69
3,E V VELU,Dravida Munnetra Kazhagam,134987,2889,137876,66.02
4,J AGNI SELVARASU,Naadaalum Makkal Katchi,545,3,548,0.26
5,ARUL R,Makkal Needhi Maiam,6169,77,6246,2.99
6,J KAMALAKKANNAN,Naam Tamilar Katchi,13894,101,13995,6.7
7,R CHANDRAKANTH PILLAI,New Generation People’s Party,98,3,101,0.05
8,S K SELVAM,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,130,1,131,0.06
9,A G PANCHATCHARAM,Amma Makkal Munnettra Kazagam,2088,20,2108,1.01
10,A NAKKEERAN,Independent,142,4,146,0.07
11,N PALANI,Independent,145,19,164,0.08
12,D MANIMARAN,Independent,152,5,157,0.08
13,R G VASUDEVAN,Independent,291,0,291,0.14
14,K VINAYAGAM,Independent,430,0,430,0.21
15,J JAMEEL BASHA,Independent,774,6,780,0.37
16,NOTA,None of the Above,2170,24,2194,1.05
