O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,SHANMUGAVEL.K.S,All India Anna Dravida Munnetra Kazhagam,77474,347,77821,44.12
2,PATTAN.G,Bahujan Samaj Party,956,1,957,0.54
3,VENKATACHALAM.A.G,Dravida Munnetra Kazhagam,78038,1058,79096,44.84
4,GURUNATHAN.M,Makkal Needhi Maiam,2466,8,2474,1.4
5,SARAVANAN.M,Naam Tamilar Katchi,8162,68,8230,4.67
6,SELVAM.S.R,Amma Makkal Munnettra Kazagam,1207,5,1212,0.69
7,BAKKIYAM.M,India Dravida Makkal Munnetra Katchi,103,0,103,0.06
8,PRATHABAN.A,Ahimsa Socialist Party,2035,10,2045,1.16
9,RAJENDRAN.K,Ganasangam Party of India,229,0,229,0.13
10,ANBALAGAN.K,Independent,198,1,199,0.11
11,KARTHIKEYAN.R,Independent,130,2,132,0.07
12,GEETHA.M,Independent,151,1,152,0.09
13,KUMARASAMY.R,Independent,224,1,225,0.13
14,SHANMUGAM.K,Independent,503,0,503,0.29
15,SENGUTTUVAN.M.R,Independent,183,1,184,0.1
16,THANGAVEL.M,Independent,543,0,543,0.31
17,POORNACHANDRAN.S,Independent,567,0,567,0.32
18,PERIYASAMY.T,Independent,146,1,147,0.08
19,MUTHUSAMY.M,Independent,428,0,428,0.24
20,SHEIKDAVOOD.A.M,Independent,110,1,111,0.06
21,NOTA,None of the Above,1017,10,1027,0.58
