O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,PAUL MANOJ PANDIAN,All India Anna Dravida Munnetra Kazhagam,73846,307,74153,36.44
2,DR.POONGOTHAI ALADI ARUNA,Dravida Munnetra Kazhagam,69325,1289,70614,34.7
3,RAJENDRANATHAN,Desiya Murpokku Dravida Kazhagam,2797,19,2816,1.38
4,A.UDHAYAKUMAR,Puthiya Tamilagam,1098,7,1105,0.54
5,M.SANGEETHA ESAK,Naam Tamilar Katchi,12396,123,12519,6.15
6,S.SELVAKUMAR,Makkal Needhi Maiam,1439,15,1454,0.71
7,ARUNKUMAR.K,Independent,492,0,492,0.24
8,S.SANKAR GANESH YADAV,Independent,375,1,376,0.18
9,K.SIVARAM,Independent,435,1,436,0.21
10,HARI NADAR.A,Independent,37603,124,37727,18.54
11,NOTA,None of the Above,1772,14,1786,0.88
