O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,THAVAMANI A,Bahujan Samaj Party,283,3,286,0.19
2,PALANIVEL THIAGA RAJAN,Dravida Munnetra Kazhagam,72231,974,73205,48.99
3,JOTHI MUTHURAMALINGAM N,All India Anna Dravida Munnetra Kazhagam,38834,195,39029,26.12
4,ESWARI M,My India Party,285,2,287,0.19
5,SIKKANDAR BATCHA G S,SOCIAL DEMOCRATIC PARTY OF INDIA,3327,20,3347,2.24
6,PANDIAMMAL J,Naam Tamilar Katchi,11156,59,11215,7.51
7,MANI B,Makkal Needhi Maiam,14437,58,14495,9.7
8,RAJAKUMAR NAIDU E V S,Tamil Telugu National Party,175,1,176,0.12
9,ELANGOVAN R,Independent,264,0,264,0.18
10,KREMMER SURESH,Independent,4880,27,4907,3.28
11,KRISHNAPRABBU M R,Independent,437,3,440,0.29
12,SATHIYENDRAN N,Independent,51,0,51,0.03
13,SIVASANKAR S,Independent,94,0,94,0.06
14,RAJASURIYAA K R,Independent,192,1,193,0.13
15,NOTA,None of the Above,1432,9,1441,0.96
