O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,S.REGUPATHY,Dravida Munnetra Kazhagam,70594,755,71349,41.0
2,P.K.VAIRAMUTHU,All India Anna Dravida Munnetra Kazhagam,69595,372,69967,40.2
3,S. GANDIPAN,My India Party,554,0,554,0.32
4,R.SIVAKUMAR,Puthiya Tamilagam,236,2,238,0.14
5,U.SIVARAMAN,Naam Tamilar Katchi,11019,42,11061,6.36
6,R.THIRUMENI,Makkal Needhi Maiam,1350,6,1356,0.78
7,S.PURACHIBALAN,Anna Dravidar Kazhagam,74,0,74,0.04
8,S.MUNIARAJU,Amma Makkal Munnettra Kazagam,1485,18,1503,0.86
9,C. ALAGU SUBBIAH,Independent,408,4,412,0.24
10,M.KARTHICK,Independent,65,0,65,0.04
11,R.SUNDARAM,Independent,69,1,70,0.04
12,K.SELVAKUMAR,Independent,54,0,54,0.03
13,M.SELVAKUMAR,Independent,87,0,87,0.05
14,S.SELVAKUMAR,Independent,109,0,109,0.06
15,M.SELVAKUMAR,Independent,315,0,315,0.18
16,K.SELVAKUMAR,Independent,15111,33,15144,8.7
17,M.SELVAKUMAR,Independent,456,0,456,0.26
18,M. DURAIRAJAN,Independent,365,0,365,0.21
19,R. PALANIYAPPAN,Independent,92,0,92,0.05
20,S.MANIKANDAN,Independent,66,0,66,0.04
21,AL.MATHIALAGAN,Independent,51,0,51,0.03
22,MUTHUADAIKKAN @ ADAIKKALAM,Independent,73,1,74,0.04
23,NOTA,None of the Above,568,1,569,0.33
