O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,KUMAR.S,Bahujan Samaj Party,180,0,180,0.15
2,MURTHY.R.IDREAM,Dravida Munnetra Kazhagam,64095,329,64424,53.16
3,JAYAKUMAR.D,All India Anna Dravida Munnetra Kazhagam,36458,187,36645,30.24
4,KAMALI.S,Naam Tamilar Katchi,7923,30,7953,6.56
5,GUNASEKARAN.S,Makkal Needhi Maiam,8139,27,8166,6.74
6,MOHAN.A,Tipu Sultan Party,172,0,172,0.14
7,RAMAJAYAM.C,Amma Makkal Munnettra Kazagam,1124,4,1128,0.93
8,JAMES MARTIN.M,Tamil Nadu Ilangyar Katchi,554,3,557,0.46
9,KARUNAKARAN.H,Independent,26,0,26,0.02
10,KARTHICK.V,Independent,21,0,21,0.02
11,KALIDASS.K.R,Independent,27,0,27,0.02
12,GOKUL.G,Independent,52,0,52,0.04
13,SATHISH.S,Independent,30,0,30,0.02
14,SUGANTHAN.T,Independent,205,0,205,0.17
15,SUNDARAPANDIAN.R,Independent,60,0,60,0.05
16,SUBRAMANI.S.N,Independent,85,0,85,0.07
17,CHELLAPPPAN.T,Independent,50,0,50,0.04
18,SELVAKUMAR.J,Independent,133,0,133,0.11
19,DHANASEKARAN.G,Independent,109,0,109,0.09
20,DINAKARAN.S,Independent,56,0,56,0.05
21,PRASATH.K,Independent,58,0,58,0.05
22,PRABHAKARAN.V,Independent,55,0,55,0.05
23,PRABHU.D,Independent,18,0,18,0.01
24,MURTHY.T.C.S,Independent,42,1,43,0.04
25,VINDHAN.A,Independent,10,0,10,0.01
26,VELU.G,Independent,27,0,27,0.02
27,NOTA,None of the Above,896,5,901,0.74
