O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ARUMUGAM C,Bahujan Samaj Party,517,3,520,0.27
2,PUGAZHENTHI N,Dravida Munnetra Kazhagam,92621,1109,93730,48.41
3,MUTHAMILSELVAN R,All India Anna Dravida Munnetra Kazhagam,83258,899,84157,43.47
4,ELANGOVAN S,Akhil Bharat Hindu Mahasabha,652,3,655,0.34
5,IYYANAR R,Amma Makkal Munnettra Kazagam,3039,14,3053,1.58
6,SENTHIL R,Indiya Jananayaka Katchi,204,3,207,0.11
7,RAJIVGANDHI P,Naadaalum Makkal Katchi,95,1,96,0.05
8,SHEEBA ASHMI R,Naam Tamilar Katchi,8141,75,8216,4.24
9,IYYAPPAN K,Independent,54,0,54,0.03
10,AYYANAR A,Independent,75,3,78,0.04
11,KANNADHASAN A,Independent,73,8,81,0.04
12,GAYATHRI J,Independent,303,2,305,0.16
13,SATHISH R,Independent,436,0,436,0.23
14,RAGHUPATHY P,Independent,906,1,907,0.47
15,NOTA,None of the Above,1108,14,1122,0.58
