O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,K Seetharaman,Dravida Munnetra Kazhagam,72933,1064,73997,42.5
2,DHANASEELAN,Desiya Murpokku Dravida Kazhagam,1406,26,1432,0.82
3,PUSHPALATHA D,Bahujan Samaj Party,505,14,519,0.3
4,M.JAGAN MOORTHY,All India Anna Dravida Munnetra Kazhagam,83989,590,84579,48.57
5,K ELAVARASAN,Republican Party of India (Athawale),543,4,547,0.31
6,K SATHU,National Democratic Party of South India,132,1,133,0.08
7,J.Divya Rani,Naam Tamilar Katchi,9911,116,10027,5.76
8,K VENKATASAMY,Indiya Jananayaka Katchi,519,0,519,0.3
9,E.P.ELANCHEZHIYAN,Independent,238,4,242,0.14
10,S SELVA CHENGUTTUVAN,Independent,324,7,331,0.19
11,NOTA,None of the Above,1773,25,1798,1.03
