O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ALLAPICHAI,Bahujan Samaj Party,634,2,636,0.3
2,KATHARBATCHA MUTHURAMALINGAM,Dravida Munnetra Kazhagam,109712,1370,111082,51.88
3,D.KUPPURAMU,Bharatiya Janata Party,60262,341,60603,28.31
4,AMUTHAN,Namadhu Makkal Katchi,382,1,383,0.18
5,K.ILANGO,Naam Tamilar Katchi,16960,86,17046,7.96
6,K.P SARAVANAN,Makkal Needhi Maiam,1962,23,1985,0.93
7,G.MUNIYASAMY,Amma Makkal Munnettra Kazagam,6710,50,6760,3.16
8,R.S.WILHELM BENJAMIN ANAND,Bahujan Dravida Party,77,1,78,0.04
9,V.JAYAPRAKASH,My India Party,133,0,133,0.06
10,ASANALI,Independent,77,1,78,0.04
11,K.KURUNTHAPPAN,Independent,245,1,246,0.11
12,SALEEM,Independent,125,3,128,0.06
13,S.SURESH,Independent,190,0,190,0.09
14,SURYAPRAKASH,Independent,1000,2,1002,0.47
15,P.MALAICHAMY,Independent,10808,14,10822,5.05
16,MISRA G,Independent,493,2,495,0.23
17,N MUNIYASAMI,Independent,119,0,119,0.06
18,E VINOTH,Independent,1216,0,1216,0.57
19,B VIJAYAPRAKASH,Independent,343,0,343,0.16
20,NOTA,None of the Above,747,6,753,0.35
