O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,"SUNDARARAJAN, S.",All India Anna Dravida Munnetra Kazhagam,114376,1096,115472,49.72
2,"RAJESH, K.M.",Dravida Munnetra Kazhagam,93897,1530,95427,41.09
3,"SIVALINGAM, C.",Tamilaga Makkal Thannurimai Katchi,812,2,814,0.35
4,"SENGODAN, K.",Makkal Needhi Maiam,3140,35,3175,1.37
5,"CHELLAMUTHU, A.",Amma Makkal Munnettra Kazagam,1462,9,1471,0.63
6,"SETTU, K.",My India Party,96,0,96,0.04
7,"SHOBANA, S.",Naam Tamilar Katchi,10788,74,10862,4.68
8,"RAVIKUMAR, P.",Ganasangam Party of India,197,3,200,0.09
9,"AROKIASAMI, A.",Independent,135,0,135,0.06
10,"GUNASEKARAN, M.",Independent,92,3,95,0.04
11,"GOPALAKRISHNAN, S.",Independent,166,0,166,0.07
12,"SATHISHKUMAR, V.",Independent,87,2,89,0.04
13,"SENGOTEN, R.",Independent,97,0,97,0.04
14,"DURAIRAJ, C.",Independent,209,2,211,0.09
15,"PALANIYAPPAN, M.",Independent,524,1,525,0.23
16,"BAKKIYAMANI, M.",Independent,846,1,847,0.36
17,"PRABHU, K.",Independent,481,0,481,0.21
18,"MANIVEL, P.",Independent,276,2,278,0.12
19,"VIJAYAKUMAR, P.",Independent,55,0,55,0.02
20,"VIJI @ VIJAYAN, K.",Independent,30,1,31,0.01
21,"VENGADACHALAM, T.",Independent,33,0,33,0.01
22,"JAGANATHAN, I.",Independent,99,0,99,0.04
23,"JAGANNATHAN, M.",Independent,119,0,119,0.05
24,NOTA,None of the Above,1453,16,1469,0.63
