O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,THANGA UDHAYAKUMAR,Bahujan Samaj Party,425,4,429,0.24
2,N. MURUGUMARAN,All India Anna Dravida Munnetra Kazhagam,74608,883,75491,43.0
3,M.G. KALYANASUNDARAM,All India Jananayaka Makkal Kazhagam,458,2,460,0.26
4,SINTHANAI SELVAN,Viduthalai Chiruthaigal Katchi,84986,1070,86056,49.02
5,THANGA VIKRAM,Makkal Needhi Maiam,1391,24,1415,0.81
6,M. THIRUNAVUKARASU,Anna Puratchi Thalaivar Amma Dravida Munnetra Kazhagam,133,1,134,0.08
7,S. NARAYANAMOORTHY,Amma Makkal Munnettra Kazagam,1892,12,1904,1.08
8,P. NIVEDHA,Naam Tamilar Katchi,6762,44,6806,3.88
9,M.A.T. ARCHUNAN,Independent,417,4,421,0.24
10,A. ANANDAN,Independent,991,0,991,0.56
11,P.M. KUMAR,Independent,362,1,363,0.21
12,S.TAMILSELVAN,Independent,216,0,216,0.12
13,MATHIAZHAGAN,Independent,227,0,227,0.13
14,NOTA,None of the Above,647,1,648,0.37
