O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Appu S.R.K,All India Anna Dravida Munnetra Kazhagam,74457,661,75118,41.76
2,Karthikeyan .P,Dravida Munnetra Kazhagam,82907,1392,84299,46.86
3,Senthilkumar .P,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,200,2,202,0.11
4,Syed Jalaluddin .M,Tipu Sultan Party,186,1,187,0.1
5,Dharmalingam .V.D,Amma Makkal Munnettra Kazagam,860,5,865,0.48
6,Naresh Kumar .R,Tamil Nadu Ilangyar Katchi,921,7,928,0.52
7,Poonkundran .N,Naam Tamilar Katchi,8454,76,8530,4.74
8,Manogaran S,Kamarajar Deseeya Congress,67,0,67,0.04
9,Vikram Chakravarthy .G,Makkal Needhi Maiam,7179,64,7243,4.03
10,Karthick .E,Independent,35,1,36,0.02
11,Karthikeyan .R,Independent,40,2,42,0.02
12,Sathishkumar .S,Independent,54,0,54,0.03
13,Srinivasan .N,Independent,67,0,67,0.04
14,Naseer K,Independent,90,1,91,0.05
15,Panneer Sevlan .N,Independent,135,3,138,0.08
16,Vijayaraj .K,Independent,224,0,224,0.12
17,Vishnumohan .E,Independent,364,3,367,0.2
18,NOTA,None of the Above,1417,24,1441,0.8
