O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,GOPI.K,Bahujan Samaj Party,623,2,625,0.28
2,GOVINDASAMY.A,All India Anna Dravida Munnetra Kazhagam,113397,1110,114507,51.81
3,PRABHURAJASEKAR.M,Dravida Munnetra Kazhagam,75831,1733,77564,35.1
4,SRINIVASAN,Makkal Needhi Maiam,1720,9,1729,0.78
5,PALANIAPPAN.P,Amma Makkal Munnettra Kazagam,15597,266,15863,7.18
6,MURUGAN.R,Anaithu Makkal Puratchi Katchi,149,1,150,0.07
7,RAMESH.R,Naam Tamilar Katchi,7490,83,7573,3.43
8,ANAND KUMAR.K,Independent,186,1,187,0.08
9,ELANGO.S,Independent,130,0,130,0.06
10,GOVINDASAMY.R,Independent,426,6,432,0.2
11,SELVAM.P,Independent,89,5,94,0.04
12,PALANIYAPPAN.R,Independent,120,2,122,0.06
13,MANIVANNAN.K,Independent,121,2,123,0.06
14,MURUGAN.S,Independent,299,1,300,0.14
15,VEERAMANI.T,Independent,257,0,257,0.12
16,NOTA,None of the Above,1330,8,1338,0.61
