O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Ezhilarasu. M,Bahujan Samaj Party,600,4,604,0.3
2,Agri KRISHNAMURTHY. S S,All India Anna Dravida Munnetra Kazhagam,96878,854,97732,48.38
3,SEKARAN. K.V,Dravida Munnetra Kazhagam,86544,1463,88007,43.57
4,KALAVATHI. G,Makkal Needhi Maiam,1561,19,1580,0.78
5,LAVANYA. L,Naam Tamilar Katchi,10065,132,10197,5.05
6,VIJAYAKUMAR. C,Amma Makkal Munnettra Kazagam,646,10,656,0.32
7,GANESAN. C,Independent,55,0,55,0.03
8,KALAIMANI. S,Independent,56,0,56,0.03
9,KRISHNAMURTHI. K,Independent,50,0,50,0.02
10,Shanmugasundaram. E,Independent,82,8,90,0.04
11,SATHIYARAJ. P,Independent,77,10,87,0.04
12,CHIDAMBARAM. V,Independent,71,1,72,0.04
13,SIVA. A,Independent,216,0,216,0.11
14,DAKSNAMOORTHY. R,Independent,1188,0,1188,0.59
15,MURUGESAN. D,Independent,278,0,278,0.14
16,NOTA,None of the Above,1131,13,1144,0.57
