O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,V. INDIRANI,Bahujan Samaj Party,448,3,451,0.23
2,S. KATHIRAVAN,Dravida Munnetra Kazhagam,114451,1883,116334,59.14
3,M. PARANJOTHI,All India Anna Dravida Munnetra Kazhagam,56366,350,56716,28.83
4,C. ARULMANI,Akila India Vallalar Peravai,379,0,379,0.19
5,M. RAJASEKHARN,Amma Makkal Munnettra Kazagam,1619,12,1631,0.83
6,Dr. KRISHNASAMY. V,Naam Tamilar Katchi,14361,82,14443,7.34
7,K. GURUNATHAN,Samaniya Makkal Nala Katchi,103,0,103,0.05
8,R. SAMSON,Makkal Needhi Maiam,1975,21,1996,1.01
9,M. DHINAKARAN,Puthiya Tamilagam,155,3,158,0.08
10,T. RENGARAJ,Tamil Nadu Ilangyar Katchi,240,0,240,0.12
11,S. ROHINI,Makkal Munnetra Peravai,89,2,91,0.05
12,P. JAGADEESAN,My India Party,110,2,112,0.06
13,P. RAMALINGAM,Independent,107,2,109,0.06
14,R. RAJASEHAR,Independent,135,2,137,0.07
15,K.R.ELAIYARAJA,Independent,237,0,237,0.12
16,V. GOPALAKRISHNAN,Independent,206,0,206,0.1
17,R. SUDHA,Independent,158,3,161,0.08
18,V.M. SELVARAJ,Independent,576,1,577,0.29
19,P. NEELAMEGAM,Independent,192,0,192,0.1
20,S. PUGAZHENTHI,Independent,166,2,168,0.09
21,P. MACHAVALLAVAN,Independent,38,0,38,0.02
22,K. MANIMARABOOPATHI,Independent,61,0,61,0.03
23,A.C. MANOHARAN,Independent,43,0,43,0.02
24,S. MANOJ KUMAR,Independent,55,0,55,0.03
25,V. MUTHUSAMY,Independent,100,0,100,0.05
26,N. MOHAN,Independent,91,0,91,0.05
27,K. RAJINIKANTH,Independent,110,0,110,0.06
28,P. RAJARAM,Independent,482,0,482,0.25
29,V. RAJU,Independent,230,1,231,0.12
30,NOTA,None of the Above,1055,12,1067,0.54
