O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,KANNAN KA SO KA,Dravida Munnetra Kazhagam,98174,1355,99529,46.0
2,NEELAMEGAM K,Bahujan Samaj Party,603,2,605,0.28
3,SIVA J K,Amma Makkal Munnettra Kazagam,1545,15,1560,0.72
4,SORNALATHA @ LATHA G,Indiya Jananayaka Katchi,4662,38,4700,2.17
5,NATARAJAN A,Anna Dravidar Kazhagam,413,5,418,0.19
6,BALU K,Pattali Makkal Katchi,93217,860,94077,43.48
7,MAHALINGAM NEELA,Naam Tamilar Katchi,9903,53,9956,4.6
8,KESAVARAJAN V K,Independent,1543,3,1546,0.71
9,SATHISHKUMAR R,Independent,348,1,349,0.16
10,SAMUVEL MARTIN A,Independent,309,3,312,0.14
11,SUDARVIZHI K,Independent,247,3,250,0.12
12,SEDHURAMAN R,Independent,257,1,258,0.12
13,RAJKUMAR S,Independent,945,2,947,0.44
14,NOTA,None of the Above,1850,11,1861,0.86
