O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,RAMACHANDRAN.T,Communist Party of India,119621,1020,120641,62.18
2,Dr.NAGESH KUMAR.C,Bharatiya Janata Party,64131,284,64415,33.2
3,ASHOK KUMAR.V,Indiya Jananayaka Katchi,782,6,788,0.41
4,USHA.M,New Generation People’s Party,208,1,209,0.11
5,SEKAR.M.V,Amma Makkal Munnettra Kazagam,342,4,346,0.18
6,MARY SELVARANI.R,Naam Tamilar Katchi,3760,16,3776,1.95
7,RAVI.G,Samajwadi Party,162,0,162,0.08
8,JANAKI.G,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,137,1,138,0.07
9,KUMAR.M,Independent,419,3,422,0.22
10,DEVAPPA@DEVAGOWDA.Y,Independent,219,3,222,0.11
11,RAVI MUNISWAMY,Independent,352,1,353,0.18
12,VASANTHAMMA.N,Independent,582,2,584,0.3
13,NOTA,None of the Above,1963,3,1966,1.01
