O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,RAMAN V,Bahujan Samaj Party,495,0,495,0.27
2,SEKAR S,All India Anna Dravida Munnetra Kazhagam,84593,1441,86034,46.83
3,MOORTHIY K S,Dravida Munnetra Kazhagam,76062,2310,78372,42.66
4,SAMINATHAN P P,Amma Makkal Munnettra Kazagam,1321,8,1329,0.72
5,SUNDARAM S,United States of India Party,132,4,136,0.07
6,NATARAJAN K,Makkal Needhi Maiam,1858,24,1882,1.02
7,MANI K,Ganasangam Party of India,128,4,132,0.07
8,UVARANI K,Naam Tamilar Katchi,11554,130,11684,6.36
9,KARTHIKEYAN N,Independent,69,1,70,0.04
10,KUZHANDAIVEL K,Independent,65,0,65,0.04
11,SATHISKUMAR D,Independent,66,1,67,0.04
12,SAMYNATHAN G,Independent,67,1,68,0.04
13,SEERANGAN P,Independent,155,1,156,0.08
14,SUNDARAM N,Independent,280,0,280,0.15
15,SEKAR N,Independent,269,1,270,0.15
16,SEKAR R,Independent,367,1,368,0.2
17,THANGARASU M,Independent,177,1,178,0.1
18,DEVANDRAN G,Independent,259,0,259,0.14
19,NALLAPPAN K,Independent,219,0,219,0.12
20,PAPATHI R,Independent,232,0,232,0.13
21,PARTHASARATHY S,Independent,88,0,88,0.05
22,BALASUBRAMANIAN A,Independent,21,0,21,0.01
23,BALAJI R,Independent,33,2,35,0.02
24,PRABHAHARAN M,Independent,41,1,42,0.02
25,PERIASAMY R,Independent,52,0,52,0.03
26,MOORTHY M,Independent,86,1,87,0.05
27,JAYAKUMAR K,Independent,112,0,112,0.06
28,NOTA,None of the Above,952,12,964,0.52
