O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,SEKARBABU. P.K,Dravida Munnetra Kazhagam,59073,244,59317,58.35
2,RAVIKUMAR. C,Bahujan Samaj Party,410,0,410,0.4
3,VINOJ. P. SELVAM,Bharatiya Janata Party,31971,72,32043,31.52
4,AHAMED FAZIL. M,Naam Tamilar Katchi,3345,12,3357,3.3
5,SANTHANA KRISHNAN. P,Amma Makkal Munnettra Kazagam,771,4,775,0.76
6,RAMESH. A,Makkal Needhi Maiam,3758,5,3763,3.7
7,ANANDRAJ. T.K,Independent,21,0,21,0.02
8,UDHAYAKUMAR. V,Independent,25,0,25,0.02
9,GANESH. S,Independent,68,0,68,0.07
10,KAMAL. J,Independent,45,2,47,0.05
11,KRISHNAKUMAR. G,Independent,22,0,22,0.02
12,SHANKAR. A,Independent,37,1,38,0.04
13,CHANDRAN. R,Independent,13,0,13,0.01
14,SIVARAMAN. G,Independent,40,0,40,0.04
15,ZIONRAJ. M,Independent,18,0,18,0.02
16,SURESH. R,Independent,117,0,117,0.12
17,SELVAM. P,Independent,247,0,247,0.24
18,SELVAKUMAR. R,Independent,37,0,37,0.04
19,SELVARAJ. S,Independent,63,0,63,0.06
20,DAMODHARAN. A.G,Independent,20,0,20,0.02
21,NAGARAJ. S,Independent,10,0,10,0.01
22,PUGALENTHI. P,Independent,28,0,28,0.03
23,MAHALINGAM. D,Independent,10,0,10,0.01
24,RAGHUNATH. K,Independent,13,0,13,0.01
25,RAMESH. D,Independent,11,1,12,0.01
26,RAMKI. P,Independent,33,0,33,0.03
27,VIVEK RAM. A,Independent,166,0,166,0.16
28,SRINIVASAN. P,Independent,25,0,25,0.02
29,NOTA,None of the Above,909,3,912,0.9
