O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,"SELLAMMAL,V.M.",Bahujan Samaj Party,481,4,485,0.26
2,"NALLATHAMBI,A.",All India Anna Dravida Munnetra Kazhagam,88900,668,89568,48.02
3,"REKHA PRIYADHARSHINI,J.",Dravida Munnetra Kazhagam,80466,1741,82207,44.08
4,"NAVAN,P.",Puthiya Tamilagam,603,6,609,0.33
5,"PANDIAN,A.",Amma Makkal Munnettra Kazagam,1497,22,1519,0.81
6,"PERIYASAMY,K.",Indiya Jananayaka Katchi,488,5,493,0.26
7,"VINOTHINI,R.",Naam Tamilar Katchi,9241,82,9323,5.0
8,"AYYADURAI,J.",Independent,104,1,105,0.06
9,"CHANDRASEKARAN,K.",Independent,155,0,155,0.08
10,"SARAVANAN,R.",Independent,396,0,396,0.21
11,"SENTHILKUMAR,K.",Independent,392,0,392,0.21
12,NOTA,None of the Above,1241,10,1251,0.67
