O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,C. KUMAR,Desiya Murpokku Dravida Kazhagam,2962,24,2986,1.25
2,G. Chitra,All India Anna Dravida Munnetra Kazhagam,120542,1019,121561,50.88
3,C. TAMILSELVAN,Dravida Munnetra Kazhagam,93927,1679,95606,40.02
4,P. Ramasamy,Bahujan Samaj Party,579,0,579,0.24
5,T. Duraisamy,Indiya Jananayaka Katchi,870,6,876,0.37
6,Jothi,Naam Tamilar Katchi,13214,94,13308,5.57
7,S.T. Rajendhiran,Independent,158,7,165,0.07
8,K. UNNAMALAI,Independent,109,1,110,0.05
9,P. SATHISHKUMAR,Independent,148,0,148,0.06
10,Santhosam,Independent,165,2,167,0.07
11,T. Priya,Independent,284,5,289,0.12
12,K. Manikandan,Independent,485,5,490,0.21
13,D. MADESH,Independent,659,1,660,0.28
14,NOTA,None of the Above,1955,24,1979,0.83
