O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,SENTHIL KUMAR I.P,Dravida Munnetra Kazhagam,107049,1517,108566,52.86
2,NACHIMUTHU S,Bahujan Samaj Party,442,1,443,0.22
3,RAVI MANOHARAN K,All India Anna Dravida Munnetra Kazhagam,77951,559,78510,38.23
4,SIVABALA MOORTHI K,Akhil Bharat Hindu Mahasabha,598,3,601,0.29
5,THANGAVEL B,My India Party,76,1,77,0.04
6,POOVENDHAN T,Makkal Needhi Maiam,3669,63,3732,1.82
7,VINOTH RAJASEKARAN G,Naam Tamilar Katchi,7563,93,7656,3.73
8,VEERAKUMAR V,Amma Makkal Munnettra Kazagam,2231,24,2255,1.1
9,AZHAGUMALAI A,Independent,43,0,43,0.02
10,ANANTHAN S. P,Independent,92,0,92,0.04
11,KARUPPUSAMY P,Independent,37,1,38,0.02
12,KALIAPPAN K,Independent,47,2,49,0.02
13,SHAHUL HAMEED,Independent,147,2,149,0.07
14,SAMIAPPA GOUNDER P,Independent,195,0,195,0.09
15,SIDDIQ M,Independent,110,0,110,0.05
16,SUDHA R B,Independent,520,2,522,0.25
17,SURESH M,Independent,462,0,462,0.22
18,THANGAVEL A,Independent,58,0,58,0.03
19,NAGENDRAN G,Independent,308,2,310,0.15
20,PANDEESWARAN M,Independent,68,0,68,0.03
21,PERIYADURAI M,Independent,94,1,95,0.05
22,MUNISHRAJA M,Independent,73,0,73,0.04
23,RASULBEEVI SAHABUDEEN,Independent,64,0,64,0.03
24,LATHIKA,Independent,105,1,106,0.05
25,NOTA,None of the Above,1088,22,1110,0.54
