O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,R. RAJENDRAN,Dravida Munnetra Kazhagam,91222,2210,93432,46.17
2,M.P.PANNEER SELVAM,National People's Party,338,7,345,0.17
3,G.VENKATACHALAM,All India Anna Dravida Munnetra Kazhagam,85026,818,85844,42.42
4,S VELAN,Bahujan Samaj Party,299,1,300,0.15
5,M AHAMEDSHAHJAHAN,MGR Makkal Katchi,95,1,96,0.05
6,IMAYAESWARAN N,Naam Tamilar Katchi,8079,76,8155,4.03
7,R S GURU CHAKRAVARTHY,Makkal Needhi Maiam,10610,108,10718,5.3
8,C NATARAJAN,Amma Makkal Munnettra Kazagam,800,5,805,0.4
9,S. BABU,My India Party,39,0,39,0.02
10,D.MURALI,Dhesiya Makkal Kazhagam,24,1,25,0.01
11,VAATHIAR C MURUGAN,Ambedkarite Party of India,54,1,55,0.03
12,M.SHANMUGA SUNDARAM,Independent,69,4,73,0.04
13,R SENTHILKUMAR,Independent,62,1,63,0.03
14,N DEVARAJ,Independent,165,2,167,0.08
15,M.R.NAWAZUDIEEN,Independent,50,0,50,0.02
16,R PALANISAMY,Independent,208,0,208,0.1
17,A RAMESHKUMAR,Independent,213,0,213,0.11
18,P.RAMACHANDRAN,Independent,27,0,27,0.01
19,S RAJASEKAR,Independent,177,0,177,0.09
20,T.VIJAYA RAJ,Independent,44,1,45,0.02
21,NOTA,None of the Above,1505,34,1539,0.76
