O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Arunmozhithevan. A,All India Anna Dravida Munnetra Kazhagam,95536,917,96453,48.92
2,Ezhilvendhan. R,Bahujan Samaj Party,503,1,504,0.26
3,Saravanan. Durai.K,Dravida Munnetra Kazhagam,87217,977,88194,44.73
4,Balamurugan. K.S.K,Amma Makkal Munnettra Kazagam,2464,6,2470,1.25
5,Rathinavel. R.,Naam Tamilar Katchi,6927,31,6958,3.53
6,Revathi. R.,Indiya Jananayaka Katchi,314,1,315,0.16
7,Anandan. S (a) Kavignar Sella Aananthamaalai,Independent,102,0,102,0.05
8,Ezhilvendan. P.,Independent,55,0,55,0.03
9,Saravanan. J.,Independent,192,4,196,0.1
10,Sivakumari. T,Independent,68,0,68,0.03
11,Pazhanivel. M,Independent,141,1,142,0.07
12,Balamurugan. G.C,Independent,132,1,133,0.07
13,Ranjith. R,Independent,333,0,333,0.17
14,Jeyakumar. K,Independent,184,0,184,0.09
15,NOTA,None of the Above,1058,0,1058,0.54
