O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,GOPALAKRISHNAN R,All India Anna Dravida Munnetra Kazhagam,72588,537,73125,30.74
2,MOORTHY P,Dravida Munnetra Kazhagam,120459,2270,122729,51.59
3,SARAVANAN T,Amma Makkal Munnettra Kazagam,6636,93,6729,2.83
4,BALAMURUGAN A,Puthiya Tamilagam,1737,18,1755,0.74
5,PRABAHARAN M,Bahujan Dravida Party,109,3,112,0.05
6,MUTHUKRISHNAN I,Makkal Needhi Maiam,11864,129,11993,5.04
7,MUTHU KRISHNAN M,Anaithu Makkal Puratchi Katchi,151,1,152,0.06
8,MUSTAK MOHAMED.A.K,Tipu Sultan Party,306,2,308,0.13
9,RAJA P,My India Party,120,2,122,0.05
10,LATHA J,Naam Tamilar Katchi,17504,164,17668,7.43
11,GANDHI K,Independent,232,1,233,0.1
12,CHANDRASEKARAN V,Independent,345,1,346,0.15
13,DINESH G,Independent,95,0,95,0.04
14,PALANIAMMAL P,Independent,345,4,349,0.15
15,JEYAKUMAR P,Independent,231,1,232,0.1
16,NOTA,None of the Above,1923,21,1944,0.82
