O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ANBU.S,Desiya Murpokku Dravida Kazhagam,2741,28,2769,1.24
2,GIRI.M.P,Dravida Munnetra Kazhagam,106185,1896,108081,48.26
3,SHANMUGAM.G,Bahujan Samaj Party,790,11,801,0.36
4,NAINAKANNU.M.S,All India Anna Dravida Munnetra Kazhagam,95280,1231,96511,43.09
5,SUGANRAJ.S,Indiya Jananayaka Katchi,823,5,828,0.37
6,BASKAR.S,New Generation People’s Party,171,3,174,0.08
7,VENNILA.S,Naam Tamilar Katchi,11980,100,12080,5.39
8,ARUNKUMAR.M,Independent,111,1,112,0.05
9,ANBAZHAGAN.P.G,Independent,110,2,112,0.05
10,SHARMA.S,Independent,85,42,127,0.06
11,SIVAKUMAR.J,Independent,99,0,99,0.04
12,SIVAPRAKASH.K,Independent,139,34,173,0.08
13,SELVARAJI.V,Independent,379,2,381,0.17
14,DHINAKARAN.H,Independent,200,0,200,0.09
15,VIJAYACHANDRAN.G,Independent,417,0,417,0.19
16,NOTA,None of the Above,1079,6,1085,0.48
