O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,AUSTIN S.,Dravida Munnetra Kazhagam,91511,2021,93532,41.59
2,SUTHARMAN C.J.,Bahujan Samaj Party,675,6,681,0.3
3,THALAVAI SUNDARAM N.,All India Anna Dravida Munnetra Kazhagam,108136,1609,109745,48.8
4,SASIKALA R.,Naam Tamilar Katchi,14072,68,14140,6.29
5,SENTHIL MURUGAN P.,Amma Makkal Munnettra Kazagam,1570,19,1589,0.71
6,SELVAKUMAR P.T.,Makkal Needhi Maiam,3100,6,3106,1.38
7,AUGUSTIN A.,Independent,445,1,446,0.2
8,SUNDARA NATHAN Y.,Independent,50,0,50,0.02
9,SUBASH S.,Independent,77,1,78,0.03
10,CHELLIAH PILLAI I.,Independent,55,0,55,0.02
11,THANU NEELAN S.,Independent,95,0,95,0.04
12,MAKESH N.,Independent,115,4,119,0.05
13,MANICKAVASAGAM PILLAI NA.,Independent,141,1,142,0.06
14,NOTA,None of the Above,1092,4,1096,0.49
