O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,NAZAR MOHAMED.K,All India Anna Dravida Munnetra Kazhagam,69903,341,70244,39.49
2,WAZEER AHMED.J,Bahujan Samaj Party,678,3,681,0.38
3,VILWANATHAN.A.C,Dravida Munnetra Kazhagam,89561,915,90476,50.86
4,ASHOK KUMAR.C,Anaithu Makkal Puratchi Katchi,316,3,319,0.18
5,UMAR FAROOK.ASA,SOCIAL DEMOCRATIC PARTY OF INDIA,1787,6,1793,1.01
6,KAREEM BASHA.A,Rashtriya Ulama Council,81,1,82,0.05
7,PARTHIBAN.V,All India Youth Development Party,101,0,101,0.06
8,MANI.S.P,All Pensioner’s Party,358,5,363,0.2
9,MAHARUNNISHA,Naam Tamilar Katchi,10102,48,10150,5.71
10,RAJA.S,Makkal Needhi Maiam,1629,9,1638,0.92
11,MURUGAN.L,Independent,199,2,201,0.11
12,RAJINIKANTH.P,Independent,252,1,253,0.14
13,GEORGE.V.A.,Independent,159,1,160,0.09
14,NOTA,None of the Above,1410,7,1417,0.8
