O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,"GOVINDARAJ,S.",Bahujan Samaj Party,366,6,372,0.24
2,"THIRUMAHAN EVERAA,E.",Indian National Congress,66497,803,67300,44.27
3,"YUVARAJA,M.",All India Anna Dravida Munnetra Kazhagam,58097,299,58396,38.41
4,ARUMUGA AC KANNAN,Ambedkarite Party of India,373,0,373,0.25
5,"GOMATHI,S.",Naam Tamilar Katchi,11575,54,11629,7.65
6,"SHANMUGAVEL,S.",MGR Makkal Katchi,150,1,151,0.1
7,"MUTHUKUMARAN,S.A.",Amma Makkal Munnettra Kazagam,1197,7,1204,0.79
8,"RAJA,P.","Makkal Thilagam Munnetra Kazhagam,",100,2,102,0.07
9,"RAJAKUMAR,A.M.R",Makkal Needhi Maiam,9966,39,10005,6.58
10,"ANTONY PETER,L.",Independent,95,1,96,0.06
11,"MINNAL MURUGESH,R.",Independent,72,1,73,0.05
12,"MEENAKSHI,V.",Independent,296,3,299,0.2
13,"YUVARAJ,M.",Independent,234,1,235,0.15
14,"SHAJAHAN,I.",Independent,256,0,256,0.17
15,NOTA,None of the Above,1530,16,1546,1.02
