O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,KANDASAMY V.P.,All India Anna Dravida Munnetra Kazhagam,118221,747,118968,49.23
2,PREMIER SELVAM (a)KALICHAMY M,Dravida Munnetra Kazhagam,85919,1117,87036,36.02
3,ELANGOVAN. G,Naam Tamilar Katchi,14376,50,14426,5.97
4,SENTHIL KUMAR. S.A.,Amma Makkal Munnettra Kazagam,4087,24,4111,1.7
5,NAGARAJ. K,Ganasangam Party of India,240,1,241,0.1
6,RANGANATHAN. A,Makkal Needhi Maiam,12592,66,12658,5.24
7,JAGADHEESH. S,My India Party,126,2,128,0.05
8,KANDASAMY T,Independent,82,1,83,0.03
9,KARTHIKEYAN P,Independent,209,0,209,0.09
10,SHANKAR GURU. M,Independent,191,5,196,0.08
11,SHANMUGAM R,Independent,112,4,116,0.05
12,SENTHIL KUMAR. S.A.P.,Independent,100,1,101,0.04
13,SELVA KUMAR D,Independent,213,0,213,0.09
14,SELVAN S,Independent,176,1,177,0.07
15,PREM KUMAR P,Independent,380,0,380,0.16
16,NOTA,None of the Above,2588,22,2610,1.08
