O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,KARUNANITHI J,Dravida Munnetra Kazhagam,55465,570,56035,40.57
2,SATHIYANAARAYANAN B,All India Anna Dravida Munnetra Kazhagam,55006,892,55898,40.47
3,JOHNSON R,Bahujan Samaj Party,259,10,269,0.19
4,ELLAPPAN A.K.D,Mahathma Makkal Munnetra Kazhakam,50,2,52,0.04
5,KARUPPIAH PALA,Makkal Needhi Maiam,14473,94,14567,10.55
6,SIVASANKARI S,Naam Tamilar Katchi,8259,25,8284,6.0
7,DHANASEKARAN R,Desiya Makkal Sakthi Katchi,72,2,74,0.05
8,DHANUSH M,United States of India Party,109,0,109,0.08
9,THIRUNAVUKKARASU V,Makkalatchi Katchi,33,2,35,0.03
10,BHARANEESWARAN R,Amma Makkal Munnettra Kazagam,774,8,782,0.57
11,VETRI SELVI,Anaithu Makkal Arasiyal Katchi,79,9,88,0.06
12,KANNAN S,Independent,86,2,88,0.06
13,PALAYAN R,Independent,124,0,124,0.09
14,RAJASEKARAN D,Independent,92,0,92,0.07
15,NOTA,None of the Above,1597,20,1617,1.17
