O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,THANGAPANDIAN S.,Dravida Munnetra Kazhagam,72712,1446,74158,41.5
2,RAJENTHRABHALAJI K.T,All India Anna Dravida Munnetra Kazhagam,69870,390,70260,39.32
3,AYYAR V.K.,Puthiya Tamilagam,3348,40,3388,1.9
4,KALIMUTHU K.,Amma Makkal Munnettra Kazagam,7607,53,7660,4.29
5,DHARMALINGAM K.,Republican Party of India (Athawale),106,3,109,0.06
6,VIVEKANANTHAN S.,Makkal Needhi Maiam,4023,36,4059,2.27
7,JEYARAJ V.,Naam Tamilar Katchi,15448,145,15593,8.73
8,KALIMUTHU K.,Independent,120,0,120,0.07
9,SELVARAJ G.,Independent,84,2,86,0.05
10,THANGAPANDI B.,Independent,111,1,112,0.06
11,THANGAPANDI S.,Independent,261,3,264,0.15
12,MANIKUMAR M.,Independent,546,2,548,0.31
13,VIJAYAKUMAR E.,Independent,140,0,140,0.08
14,JEYAPRAKASH I.,Independent,335,1,336,0.19
15,NOTA,None of the Above,1869,6,1875,1.05
