O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,"Prabhu Inbadass, S.",All India Trinamool Congress,399,5,404,0.3
2,"Ramachandran, K.",Dravida Munnetra Kazhagam,60471,1349,61820,45.49
3,"Vinoth, D.",All India Anna Dravida Munnetra Kazhagam,57254,461,57715,42.47
4,"Arumugam, R.",Anaithu Makkal Puratchi Katchi,435,4,439,0.32
5,"Kalaiselvan, S.",Amma Makkal Munnettra Kazagam,2499,28,2527,1.86
6,"Rajakumar, H.B.",Makkal Needhi Maiam,3587,34,3621,2.66
7,"Lavanya, M.",Naam Tamilar Katchi,7182,70,7252,5.34
8,"Chandran, K.",Independent,107,2,109,0.08
9,"Basha, A.",Independent,313,7,320,0.24
10,"Jayaprakash, D",Independent,509,4,513,0.38
11,NOTA,None of the Above,1177,11,1188,0.87
