O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Thanka.kathiravan,All India Anna Dravida Munnetra Kazhagam,58729,314,59043,41.13
2,S.Augustine Arputharaj,Naam Tamilar Katchi,9931,45,9976,6.95
3,T. Singaravadivelan,Shiv Sena,105,0,105,0.07
4,Syed Anas Mohideen Sahip,Makkal Needhi Maiam,2523,17,2540,1.77
5,J.V. Durai,Makkalatchi Katchi,96,2,98,0.07
6,C.Manjula,Amma Makkal Munnettra Kazagam,3457,46,3503,2.44
7,Mayilarasi,Naadaalum Makkal Katchi,256,0,256,0.18
8,J. Mohamed Shanavas,Viduthalai Chiruthaigal Katchi,65587,694,66281,46.17
9,V. Canagaradjou,Independent,208,1,209,0.15
10,Durai. Selvakumar,Independent,110,3,113,0.08
11,N P Bhashgaran,Independent,180,4,184,0.13
12,S. Prem,Independent,105,0,105,0.07
13,V. Manikandan,Independent,252,0,252,0.18
14,NOTA,None of the Above,893,2,895,0.62
