O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,KATHIRVEL.M,Desiya Murpokku Dravida Kazhagam,1940,6,1946,1.08
2,SIVAGAMA SUNDARI.K,Dravida Munnetra Kazhagam,95321,1219,96540,53.37
3,MUTHUKUMAR,All India Anna Dravida Munnetra Kazhagam,64507,408,64915,35.88
4,MURUGESAN.R,Bahujan Samaj Party,538,2,540,0.3
5,ASHOKAN.P,Puthiya Tamilagam,194,1,195,0.11
6,ILAKIYA.R,Naam Tamilar Katchi,9654,52,9706,5.37
7,CHANDRA.P,My India Party,128,0,128,0.07
8,SARAVANAN.V,Makkal Needhi Maiam,1837,11,1848,1.02
9,NARAYANAN.KR,Communist Party of India (Marxist-Leninist) (Liberation),100,1,101,0.06
10,RAJAGURU. M,Samaniya Makkal Nala Katchi,121,1,122,0.07
11,KRISHNAMOORTHI.M,Independent,119,0,119,0.07
12,GOPI KRISHNAN.P,Independent,97,0,97,0.05
13,SAKTHIVEL.K,Independent,151,0,151,0.08
14,SATHYARAJ,Independent,433,0,433,0.24
15,SIVAKUMAR. O,Independent,910,1,911,0.5
16,CHINNASAMY.V,Independent,377,0,377,0.21
17,SENTHILKUMAR.M,Independent,214,0,214,0.12
18,SELVAKUMAR.S,Independent,710,0,710,0.39
19,TAMIL SELVAN.M,Independent,242,0,242,0.13
20,NAGARAJAN. C,Independent,68,0,68,0.04
21,MAHAMUNI.A,Independent,27,0,27,0.01
22,MAHESWARAN.A,Independent,24,0,24,0.01
23,MUHILAN.T,Independent,21,0,21,0.01
24,MURUGANANTHAM.T,Independent,69,0,69,0.04
25,RAMESH.N.P,Independent,107,1,108,0.06
26,RAJAGOPAL.K,Independent,113,0,113,0.06
27,NOTA,None of the Above,1172,5,1177,0.65
