O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,"INIGO IRUDAYARAJ,S.",Dravida Munnetra Kazhagam,92645,1657,94302,54.56
2,"VELLAMANDI NATARAJAN,N.",All India Anna Dravida Munnetra Kazhagam,40109,396,40505,23.43
3,"PRABU,R.",Naam Tamilar Katchi,14211,101,14312,8.28
4,MANOHARAN.R.,Amma Makkal Munnettra Kazagam,9010,79,9089,5.26
5,VIJAIA MOHANAAJI,Vidial Valarchi Perani,105,0,105,0.06
6,"VEERASAKTHI,D.",Makkal Needhi Maiam,11309,87,11396,6.59
7,"ARAVINDAN,P.",Independent,85,0,85,0.05
8,"AROCKIA SATHEESH,A.",Independent,69,1,70,0.04
9,"IRUDAYARAJ,S.",Independent,55,3,58,0.03
10,"GASPAR REGAN,S.",Independent,49,1,50,0.03
11,"CHARLES SAGAYARAJ,P.",Independent,69,4,73,0.04
12,"DEVAKUMAR,T.",Independent,72,1,73,0.04
13,"BALAMURUGAN,A.",Independent,211,0,211,0.12
14,"MARUTHAMUTHU,N.",Independent,45,1,46,0.03
15,"MANOHARAN,M.",Independent,157,0,157,0.09
16,"RAJA,S.",Independent,381,1,382,0.22
17,"JAHIR HUSSAIN,M.",Independent,207,1,208,0.12
18,"SHEIK ABDULLAH,R.",Independent,199,0,199,0.12
19,NOTA,None of the Above,1504,31,1535,0.89
