O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Krishnaswamy A,Dravida Munnetra Kazhagam,148383,1195,149578,56.72
2,Sathyamurthy A C,Bahujan Samaj Party,2880,11,2891,1.1
3,Rajamannar S X,Pattali Makkal Katchi,55249,219,55468,21.03
4,Elumalai T.A.,Amma Makkal Munnettra Kazagam,8771,34,8805,3.34
5,Boshya Gayathri M,My India Party,288,2,290,0.11
6,Manimekalai A,Naam Tamilar Katchi,29804,67,29871,11.33
7,Revathi Manimegalai J,Makkal Needhi Maiam,11877,50,11927,4.52
8,Sivakumar S,Independent,403,0,403,0.15
9,Dhasarathan R,Independent,173,0,173,0.07
10,Purushothaman B,Independent,173,2,175,0.07
11,Ravikumar M,Independent,448,0,448,0.17
12,Rajesh P,Independent,241,0,241,0.09
13,Venkatesan J,Independent,240,0,240,0.09
14,Velu S,Independent,359,0,359,0.14
15,NOTA,None of the Above,2849,18,2867,1.09
