O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Sathya. C.E,Dravida Munnetra Kazhagam,81739,1337,83076,44.7
2,Madhanraj. M,Bahujan Samaj Party,587,0,587,0.32
3,Maragatham. K,All India Anna Dravida Munnetra Kazhagam,85791,855,86646,46.62
4,Moorthi . N,Desiya Murpokku Dravida Kazhagam,2130,7,2137,1.15
5,Kothandan. A,Desiya Sirupanmayinar Makkal Iyakkam,249,2,251,0.14
6,Subash. S,Makkal Munnetra Peravai,120,1,121,0.07
7,Sumitha. P,Naam Tamilar Katchi,9249,44,9293,5.0
8,Dinesh. K,Makkal Needhi Maiam,1476,12,1488,0.8
9,Tamizhselvan. S,Independent,633,6,639,0.34
10,Ranjitham. M,Independent,233,0,233,0.13
11,NOTA,None of the Above,1369,2,1371,0.74
