O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,MANICKAM K,All India Anna Dravida Munnetra Kazhagam,66792,403,67195,38.32
2,VENKATESAN A,Dravida Munnetra Kazhagam,83247,993,84240,48.04
3,JEYALAKSHMI M,Desiya Murpokku Dravida Kazhagam,3534,48,3582,2.04
4,INDURANI S,Puthiya Tamilagam,248,2,250,0.14
5,ESWARI T,Communist Party of India (Marxist-Leninist) (Liberation),121,4,125,0.07
6,SILAMBARASAN P,Bahujan Dravida Party,143,3,146,0.08
7,SENGANNAN G,Naam Tamilar Katchi,13783,153,13936,7.95
8,YOGANATHAN S,Makkal Needhi Maiam,3000,31,3031,1.73
9,RAJKUMAR K,My India Party,71,0,71,0.04
10,KATHIRESAN P,Independent,102,2,104,0.06
11,KANDAVEL S,Independent,292,2,294,0.17
12,KRISHNASAMY P,Independent,81,3,84,0.05
13,SEKAR N,Independent,70,0,70,0.04
14,DHANAGOPAL S,Independent,86,2,88,0.05
15,MALAICHAMY A,Independent,133,0,133,0.08
16,MOORTHY P,Independent,200,0,200,0.11
17,MOORTHI M,Independent,363,0,363,0.21
18,RAJKUMAR V,Independent,347,6,353,0.2
19,VARATHARAJAN C,Independent,89,0,89,0.05
20,VETRIVEL J,Independent,46,0,46,0.03
21,NOTA,None of the Above,946,15,961,0.55
