O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,JMH.AASSAN MAULAANA,Indian National Congress,67998,495,68493,38.76
2,M.K.ASHOK,All India Anna Dravida Munnetra Kazhagam,63830,311,64141,36.3
3,C.VELU,Bahujan Samaj Party,473,4,477,0.27
4,R.KANCHANA,Tamizhaga Murpokku Makkal Katchi,86,1,87,0.05
5,GEETHA,New Generation People’s Party,277,1,278,0.16
6,M.KEERTHANA,Naam Tamilar Katchi,14142,29,14171,8.02
7,M.CHANDRABOSE,Amma Makkal Munnettra Kazagam,1972,5,1977,1.12
8,A.CHANDRAN,MGR Makkal Katchi,85,0,85,0.05
9,Dr. SANTHOSH BABU IAS (Retd),Makkal Needhi Maiam,22992,80,23072,13.06
10,V.L.REVATHI JAYAKUMARI,Tamil Nadu Ilangyar Katchi,746,4,750,0.42
11,J.VICTOR PAUL,Republican Party of India (Athawale),69,0,69,0.04
12,D.VENKATESHAN,Anaithu Makkal Arasiyal Katchi,63,0,63,0.04
13,G.YESUDASAN,Independent,48,0,48,0.03
14,K.KANNAN,Independent,57,0,57,0.03
15,S.GOKUL,Independent,89,0,89,0.05
16,V.SIVARAMAN,Independent,282,0,282,0.16
17,A.TAMIL AZHAGAN,Independent,229,0,229,0.13
18,N.MAHALAKSHMI,Independent,143,0,143,0.08
19,MURALI BALAJI,Independent,116,0,116,0.07
20,M.VIGNESH,Independent,34,0,34,0.02
21,A.VETRISELVAN,Independent,24,0,24,0.01
22,S.JOTHI KANNAN,Independent,116,1,117,0.07
23,V.HARIHARAN,Independent,170,0,170,0.1
24,NOTA,None of the Above,1725,17,1742,0.99
