O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,G.Hari,All India Anna Dravida Munnetra Kazhagam,89704,1357,91061,39.15
2,D.Krishnamoorthi,Desiya Murpokku Dravida Kazhagam,3903,25,3928,1.69
3,S.Chandran,Dravida Munnetra Kazhagam,118005,2309,120314,51.72
4,N.MAGENDIRAN,Bahujan Samaj Party,711,6,717,0.31
5,L.AKILA,Naam Tamilar Katchi,11900,107,12007,5.16
6,M.D.Thanigai Malai,Indiya Jananayaka Katchi,352,1,353,0.15
7,Manikkam,All India Jananayaka Makkal Kazhagam,121,0,121,0.05
8,M.Hari,Independent,365,1,366,0.16
9,Chandran,Independent,59,1,60,0.03
10,Chandran,Independent,46,0,46,0.02
11,A.J.Suresh,Independent,174,8,182,0.08
12,Shettu,Independent,147,0,147,0.06
13,D.PAULRAJ,Independent,886,3,889,0.38
14,V.P.Vijayan,Independent,760,8,768,0.33
15,NOTA,None of the Above,1653,12,1665,0.72
