O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,SURESH KUMAR C,All India Anna Dravida Munnetra Kazhagam,66683,341,67024,36.06
2,MARIMUTHU K,Communist Party of India,95785,1307,97092,52.23
3,AARTHI A,Naam Tamilar Katchi,15300,62,15362,8.26
4,PARIVENTHAN D,All India Samathuva Makhal Katchi,313,2,315,0.17
5,RAJANIKANTH S,Amma Makkal Munnettra Kazagam,3536,19,3555,1.91
6,SIVAPRAKASAM V,Independent,128,1,129,0.07
7,SURESH A K,Independent,184,6,190,0.1
8,SENGUTTUVAN M,Independent,133,3,136,0.07
9,THIRUVARUL SELVI V,Independent,138,1,139,0.07
10,THULASIRAMAN R,Independent,155,0,155,0.08
11,PARAMASIVAM K,Independent,476,0,476,0.26
12,NOTA,None of the Above,1310,3,1313,0.71
