O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,SRINIVASAPERUMAL.S,Dravida Munnetra Kazhagam,94437,1962,96399,44.13
2,RAMESH ARAVIND.M,Desiya Murpokku Dravida Kazhagam,1860,14,1874,0.86
3,ANUSUYA.P,Makkal Needhi Maiam,4549,56,4605,2.11
4,SADHASIVAM.S,Pattali Makkal Katchi,95795,1260,97055,44.43
5,THANGAVEL. K,Dhesiya Makkal Kazhagam,1781,2,1783,0.82
6,BANUPRIYA.P,Ganasangam Party of India,434,1,435,0.2
7,MANIKANDAN.C,Naam Tamilar Katchi,9004,105,9109,4.17
8,RASAPPAN.K,My India Party,226,0,226,0.1
9,AMBIKA.A,Independent,732,6,738,0.34
10,ARIVAZHAGAN.P,Independent,166,2,168,0.08
11,SADHASIVAM.P,Independent,383,3,386,0.18
12,SELVAN,Independent,2817,6,2823,1.29
13,SEKAR.P,Independent,266,3,269,0.12
14,Dr.PADMARAJAN.K,Independent,321,4,325,0.15
15,NOTA,None of the Above,2239,8,2247,1.03
