O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Saravanan.P.S.T,Dravida Munnetra Kazhagam,92712,1422,94134,47.92
2,Nehru.M,Desiya Murpokku Dravida Kazhagam,2738,18,2756,1.4
3,Panneerselvam.V,All India Anna Dravida Munnetra Kazhagam,84070,842,84912,43.23
4,Rajkumar.E,Bahujan Samaj Party,623,9,632,0.32
5,Kalyanasundaram.A,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,126,2,128,0.07
6,Sampath.R.V,Anna Dravidar Kazhagam,91,1,92,0.05
7,Balaji.E,Naam Tamilar Katchi,8748,74,8822,4.49
8,Rajendran.M.S,Indiya Jananayaka Katchi,239,5,244,0.12
9,Amutha.G,Independent,362,20,382,0.19
10,Saravanan.K,Independent,244,6,250,0.13
11,Tirunavukarasu.M,Independent,755,10,765,0.39
12,Panneerselvam.S,Independent,710,3,713,0.36
13,Panneerselvam.V,Independent,238,1,239,0.12
14,Rajamani.K,Independent,449,1,450,0.23
15,Jagannathan.R,Independent,321,1,322,0.16
16,NOTA,None of the Above,1584,9,1593,0.81
