O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,TAMILARASAN U,Bahujan Samaj Party,636,5,641,0.45
2,NAGAIMAALI V P,Communist Party of India (Marxist),67288,700,67988,47.55
3,SIDHU G,Makkal Needhi Maiam,2890,16,2906,2.03
4,NEETHIMOHAN M,Amma Makkal Munnettra Kazagam,2494,9,2503,1.75
5,PONELAVAZHAKI S,Naam Tamilar Katchi,15088,85,15173,10.61
6,MUTHALAGAN S,Puthiya Tamilagam,614,0,614,0.43
7,VADIVEL RAVANAN S,Pattali Makkal Katchi,50754,249,51003,35.67
8,KALAISELVAN G,Independent,613,2,615,0.43
9,MARUTHAIYAN G,Independent,171,2,173,0.12
10,VEDHA MUKUNDHAN,Independent,481,1,482,0.34
11,NOTA,None of the Above,895,2,897,0.63
