O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,E CHANDRASHEKARAN,Communist Party of India,82189,2426,84615,50.72
2,BALRAJ,Bharatiya Janata Party,21119,451,21570,12.93
3,P V SURESH,Indian National Congress,56112,1364,57476,34.45
4,ABDUL SAMAD. T S/o T KUNHAMU HAJI,SOCIAL DEMOCRATIC PARTY OF INDIA,774,1,775,0.46
5,T ABDUL SAMAD S/o T KUNHIKOYA HAJI,Janata Dal (United),86,1,87,0.05
6,RESHMA KARIVEDAKAM,Anna Democratic Human Rights Movement Party of India,181,4,185,0.11
7,AUGUSTIN,Independent,495,37,532,0.32
8,KRISHNAN PARAPPACHAL,Independent,347,10,357,0.21
9,MANOJ THOMAS,Independent,93,12,105,0.06
10,SREENATH SASI. T C V,Independent,218,1,219,0.13
11,SURESH. B C S/o CHENIYAN NAIK,Independent,276,1,277,0.17
12,NOTA,None of the Above,620,17,637,0.38
