O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Kummanam Rajasekharan,Bharatiya Janata Party,50856,1032,51888,35.54
2,K.Muraleedharan,Indian National Congress,35532,992,36524,25.01
3,D.Vijayan,Bahujan Samaj Party,352,4,356,0.24
4,V.Sivankutty,Communist Party of India (Marxist),54452,1385,55837,38.24
5,Jain Wilson,Independent,164,1,165,0.11
6,Balachandran Valkannadi,Independent,84,1,85,0.06
7,Muraleedharan Nair,Independent,46,2,48,0.03
8,Rajasekharan,Independent,46,4,50,0.03
9,Arampally Vijayaraj,Independent,136,2,138,0.09
10,Shine Raj.B,Independent,65,5,70,0.05
11,L Sathyan Nadar,Independent,100,0,100,0.07
12,NOTA,None of the Above,749,7,756,0.52
