O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,KRISHNAKUMAR G,Bharatiya Janata Party,34371,625,34996,27.29
2,V .S .Sivakumar,Indian National Congress,40804,855,41659,32.49
3,Adv.ANTONY RAJU,Janadhipathiya Kerala Congress,47950,798,48748,38.01
4,A .Saboora,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),356,10,366,0.29
5,ABHILASH VADAKKAN,Independent,433,3,436,0.34
6,ANTONY RAJU S/o Raju,Independent,185,5,190,0.15
7,KRISHNAKUMAR T .S S/o Sankarankutty,Independent,87,2,89,0.07
8,CHALA MOHANAN D,Independent,238,7,245,0.19
9,RAJU ANTONY,Independent,281,8,289,0.23
10,SIVAKUMAR. K S/o Kumara Swamy,Independent,161,3,164,0.13
11,NOTA,None of the Above,1034,20,1054,0.82
