O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,K Ranjith,Bharatiya Janata Party,15403,338,15741,10.86
2,K M Shaji,Indian Union Muslim League,58490,1163,59653,41.17
3,K V Sumesh,Communist Party of India (Marxist),63895,1899,65794,45.41
4,ABDUL JABBAR K K,SOCIAL DEMOCRATIC PARTY OF INDIA,2348,9,2357,1.63
5,RESMI RAVI,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),224,2,226,0.16
6,Pavithran Kurikkalot,Independent,41,7,48,0.03
7,Prasad V P,Independent,96,8,104,0.07
8,K M SHAJI (MAMBA),Independent,256,21,277,0.19
9,Sumesh M (Mauvery House),Independent,177,3,180,0.12
10,NOTA,None of the Above,503,14,517,0.36
