O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Dr. ABDUL SALAM M,Bharatiya Janata Party,8933,164,9097,5.33
2,Adv. GAFOOR P LILLIS,Communist Party of India (Marxist),73947,1153,75100,43.98
3,KURUKKOLI MOIDEEN,Indian Union Muslim League,80906,1408,82314,48.21
4,ASHRAF,SOCIAL DEMOCRATIC PARTY OF INDIA,2699,13,2712,1.59
5,ABOOBACKER SIDHEEK,Independent,233,7,240,0.14
6,ABDUL GAFOOR PULIKKAL,Independent,68,0,68,0.04
7,ABDUL GAFOOR VALIYA PEEDIKAKKAL,Independent,33,4,37,0.02
8,ABDUL MAHROOF A.K,Independent,105,6,111,0.07
9,MOIDEEN MEENTHRATHAKATH,Independent,472,5,477,0.28
10,MOIDEEN VALIYAKATH,Independent,167,2,169,0.1
11,NOTA,None of the Above,416,1,417,0.24
