O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,K N BALAGOPAL,Communist Party of India (Marxist),66612,2158,68770,45.98
2,R RESMI,Indian National Congress,56127,1829,57956,38.75
3,Adv. VAYAKKAL SOMAN,Bharatiya Janata Party,20710,513,21223,14.19
4,USHA KOTTARAKKARA,Anna Democratic Human Rights Movement Party of India,453,7,460,0.31
5,E. KUNJUMON,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),83,4,87,0.06
6,JAINEENDRAN T,Shiv Sena,57,0,57,0.04
7,V VENUGOPAL,Democratic Social Justice Party,86,10,96,0.06
8,EYYAMKODU MANIKUTTAN,Independent,81,9,90,0.06
9,MATHEWS K LUKOSE,Independent,133,3,136,0.09
10,LAL VISWAN,Independent,103,0,103,0.07
11,NOTA,None of the Above,568,6,574,0.38
