O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Adv. G. R. ANIL,Communist Party of India,70245,2497,72742,47.54
2,Adv. J. R. PADMAKUMAR,Bharatiya Janata Party,26242,619,26861,17.56
3,P. S. PRASANTH,Indian National Congress,47877,1556,49433,32.31
4,BIPIN PALLIPURAM,Bahujan Samaj Party,553,10,563,0.37
5,IRSHAD KANYAKULANGARA,SOCIAL DEMOCRATIC PARTY OF INDIA,1867,17,1884,1.23
6,EBINU. S,Independent,132,14,146,0.1
7,THATHANKODU KANNAN,Independent,165,5,170,0.11
8,PRASANTH. C S/o CHANDRAN. K,Independent,145,15,160,0.1
9,HARI VELLANADU,Independent,126,0,126,0.08
10,NOTA,None of the Above,903,14,917,0.6
