O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,M S Asokan,Bahujan Samaj Party,597,20,617,0.43
2,DENNIES K ANTONY,Kerala Congress (M),59516,1315,60831,42.49
3,Saneeshkumar Joseph,Indian National Congress,60452,1436,61888,43.23
4,Unnikrishnan K.A,Bharath Dharma Jana Sena,17014,287,17301,12.09
5,Dharmajan P K,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),244,9,253,0.18
6,Cheriya,Independent,137,6,143,0.1
7,Joshy Vattoly,Independent,143,17,160,0.11
8,T N Rajan,Independent,692,21,713,0.5
9,Rosilin,Independent,234,14,248,0.17
10,NOTA,None of the Above,983,17,1000,0.7
