O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Adv. Anumol N.,Bahujan Samaj Party,1132,27,1159,0.91
2,Adv. Pramod Narayan,Kerala Congress (M),51111,1558,52669,41.22
3,Rinku Cherian,Indian National Congress,49398,1986,51384,40.21
4,Asharaf Pezhumkattil,SOCIAL DEMOCRATIC PARTY OF INDIA,875,11,886,0.69
5,Jomon Kochethu,Rashtriya Janata Dal,336,3,339,0.27
6,K. Padmakumar,Bharath Dharma Jana Sena,19043,544,19587,15.33
7,Aji B. Ranni,Independent,269,13,282,0.22
8,Benny Puthenparampil (Thomas Mathew),Independent,818,24,842,0.66
9,Adv. Manju K. Nair (Kottarathil),Independent,194,4,198,0.15
10,NOTA,None of the Above,422,9,431,0.34
