O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,DALEEMA,Communist Party of India (Marxist),73865,1752,75617,45.97
2,RUGMA PRADEEP,Bahujan Samaj Party,665,17,682,0.41
3,Adv. SHANIMOL OSMAN,Indian National Congress,67023,1581,68604,41.71
4,ANIYAPPAN,Bharath Dharma Jana Sena,17233,246,17479,10.63
5,AMBIKA K N (PRIYANKA ANUP),Democratic Social Justice Party,466,9,475,0.29
6,K PRATHAPAN,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),358,16,374,0.23
7,PRAMOD PERUMPUZHA,Anna Democratic Human Rights Movement Party of India,161,0,161,0.1
8,VAYALAR RAJEEVAN,Bahujan Dravida Party,159,5,164,0.1
9,CHANDRAN,Independent,88,1,89,0.05
10,NOTA,None of the Above,833,13,846,0.51
