O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Amruth Dev T,Bahujan Samaj Party,1048,31,1079,0.87
2,Adv. Job Maichil,Kerala Congress (M),54244,1181,55425,44.85
3,Adv G Raman Nair,Bharatiya Janata Party,14106,385,14491,11.73
4,M. K. Nizamuddin,SOCIAL DEMOCRATIC PARTY OF INDIA,1065,10,1075,0.87
5,Rejitha Jayaram,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),323,5,328,0.27
6,V. J. Laly,Kerala Congress,47997,1369,49366,39.94
7,JOEMON JOSEPH SRAMPICKAL,Independent,138,19,157,0.13
8,Tijo Karikkandam,Independent,1077,17,1094,0.89
9,Babychen Mukkadan,Independent,134,2,136,0.11
10,NOTA,None of the Above,430,4,434,0.35
