O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,V .T BALRAM,Indian National Congress,65629,1169,66798,43.86
2,RAJAGOPAL THRITHALA,Bahujan Samaj Party,326,7,333,0.22
3,M. B RAJESH,Communist Party of India (Marxist),68468,1346,69814,45.84
4,ADV:SANKU T DAS,Bharatiya Janata Party,12645,206,12851,8.44
5,ABDUL NAZAR M K,SOCIAL DEMOCRATIC PARTY OF INDIA,1572,10,1582,1.04
6,NOORUDHEEN E V,Independent,69,1,70,0.05
7,BALARAMAN K S/O KUNJUNNI,Independent,49,8,57,0.04
8,T .T BALARAMAN S/O KRISHNAN NAIR,Independent,42,3,45,0.03
9,RAJESH S/O RAMAN E,Independent,83,8,91,0.06
10,SREENIVAS KURUPPATH,Independent,136,0,136,0.09
11,HUSSAIN THATTATHAZHATH,Independent,106,1,107,0.07
12,NOTA,None of the Above,422,5,427,0.28
