O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,FIROS KUNNAMPARAMBIL,Indian National Congress,66750,1044,67794,44.77
2,HASSAN CHIYANOOR,SOCIAL DEMOCRATIC PARTY OF INDIA,1738,9,1747,1.15
3,RAMESH KOTTAYAPURATH,Bharath Dharma Jana Sena,9756,158,9914,6.55
4,DR.K.T.JALEEL,Independent,68935,1423,70358,46.46
5,JALEEL S/O. MUHAMMAD KUTTY,Independent,306,2,308,0.2
6,FIROS KUNNATHPARAMBIL,Independent,191,3,194,0.13
7,FIROS NELLAMKUNNATH,Independent,75,4,79,0.05
8,FIROS PARUVINGAL,Independent,173,2,175,0.12
9,MOHAMMED FIROS NURUKKUPRAMBIL,Independent,148,4,152,0.1
10,VELLARIKKAT MOHAMMED RAFI,Independent,220,7,227,0.15
11,NOTA,None of the Above,471,7,478,0.32
