O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Anad Jayan,Indian National Congress,61071,1824,62895,42.92
2,Adv. D. K. Murali,Communist Party of India (Marxist),70468,2669,73137,49.91
3,Santhosh T.,Bahujan Samaj Party,542,10,552,0.38
4,Ajmal Ismail,SOCIAL DEMOCRATIC PARTY OF INDIA,2314,11,2325,1.59
5,Ashokan T. Vamanapuram,Ambedkarite Party of India,294,7,301,0.21
6,Thazhava Sahadevan,Bharath Dharma Jana Sena,5511,92,5603,3.82
7,Attukal Aji,Independent,397,23,420,0.29
8,Navas C. M.,Independent,101,33,134,0.09
9,Bharathanoor Maniraj,Independent,129,3,132,0.09
10,R. Murali,Independent,293,17,310,0.21
11,NOTA,None of the Above,695,21,716,0.49
