O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,Ancy George,Bahujan Samaj Party,590,6,596,0.43
2,Adv. Tomy Kallany,Indian National Congress,33694,939,34633,24.76
3,Adv. Sebastian Kulathunkal,Kerala Congress (M),57630,1038,58668,41.94
4,Abdu Samad,Kerala Janatha Party,253,6,259,0.19
5,P.C.George Plathottam,"Kerala Janapaksham (Secular),",41049,802,41851,29.92
6,M. P. Sen,Bharath Dharma Jana Sena,2928,37,2965,2.12
7,Albin Mathew,Independent,201,4,205,0.15
8,M. V. George,Independent,264,14,278,0.2
9,Tomy Chemarapallil,Independent,91,3,94,0.07
10,NOTA,None of the Above,332,13,345,0.25
