O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,ADVOCATE M. RAJESH KUMAR,Bharatiya Janata Party,10033,192,10225,7.48
2,MANAYATH CHANDRAN,Loktantrik Janta Dal,55672,1930,57602,42.15
3,MUSTHAFA PALERI,SOCIAL DEMOCRATIC PARTY OF INDIA,2820,16,2836,2.08
4,K.K.REMA,Revolutionary Marxist Party of India,63418,1675,65093,47.63
5,GANGADHARAN MADAPPALLY,Independent,182,4,186,0.14
6,VELLUPARAMBATH CHANDRAN,Independent,60,3,63,0.05
7,RAMA KUNIYIL,Independent,112,14,126,0.09
8,RAMA CHERIYA KAYYIL,Independent,50,2,52,0.04
9,K.T.K RAMA PADANNAYIL,Independent,128,9,137,0.1
10,NOTA,None of the Above,347,6,353,0.26
