O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,K.NARAYANAN MASTER,Bharatiya Janata Party,10371,219,10590,6.94
2,P.K.FIROS,Indian Union Muslim League,68810,909,69719,45.7
3,MUEENUDHEEN,Bahujan Samaj Party,183,0,183,0.12
4,V.ABDURAHIMAN,National Secular Conference,69633,1071,70704,46.34
5,ABDURAHIMAN.V S/o Alavi Haji,Independent,177,2,179,0.12
6,V.ABDURAHIMAN S/o Kathiyamu,Independent,220,4,224,0.15
7,ABDURAHIMAN.V S/o Muhammed,Independent,100,2,102,0.07
8,KUNHI MOHAMED MUTHANIKKAD BAPPUTTY,Independent,207,6,213,0.14
9,FIROZ S/o Avarankutty,Independent,72,1,73,0.05
10,FIROZ S/o Kunhumarakkar,Independent,244,3,247,0.16
11,NOTA,None of the Above,328,8,336,0.22
