O.S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
1,T BALASOMAN,Bharatiya Janata Party,9227,271,9498,6.28
2,DR. M.K MUNEER,Indian Union Muslim League,70193,2143,72336,47.86
3,MUSTHAFA KOMMERI,SOCIAL DEMOCRATIC PARTY OF INDIA,1734,35,1769,1.17
4,SHAHIN K C,Samajwadi Forward Bloc,69,5,74,0.05
5,ABDUL MUNEER,Independent,86,0,86,0.06
6,SALEEM NECHOLE,Independent,91,1,92,0.06
7,ABDUL RAZAK K S/O AHMAD KUTTY,Independent,379,2,381,0.25
8,KARAT RAZACK,Independent,64114,1878,65992,43.66
9,ABDUL RAZAK S/O MUHAMMED,Independent,316,9,325,0.22
10,MUNEER M.K S/O MUHAMMED,Independent,207,21,228,0.15
11,LAKSHMANAN.K.P.THAMARASSERY,Independent,102,2,104,0.07
12,NOTA,None of the Above,265,4,269,0.18
